,transaction_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,full_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,country,property_valuation
1133,1142,685,2017-09-19,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0,Booth Birkin,U,28.0,,Senior Developer,IT,Mass Customer,N,No,,2463.0,NSW,Australia,4.0
1276,1287,1918,2017-10-13,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,Devin Sandeson,U,83.0,,Staff Accountant II,IT,Affluent Customer,N,No,,2261.0,NSW,Australia,8.0
1286,1297,3255,2017-09-15,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873.0,Sutherlan Truin,U,47.0,,Engineer IV,IT,High Net Worth,N,No,,3128.0,VIC,Australia,10.0
1305,1316,2540,2017-08-04,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42105.0,Donavon ,U,14.0,,Executive Secretary,IT,Mass Customer,N,Yes,,2560.0,NSW,Australia,7.0
1398,1409,2205,2017-05-04,1.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848.0,Birk Elphey,U,76.0,,Accounting Assistant III,IT,Mass Customer,N,No,,3101.0,VIC,Australia,8.0
1411,1422,2469,2017-04-15,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37659.0,Kermie Hedger,U,18.0,,Accounting Assistant II,IT,Mass Customer,N,Yes,,2036.0,NSW,Australia,11.0
1417,1428,1082,2017-07-08,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,Guinevere Kelby,U,90.0,,Financial Analyst,Financial Services,Mass Customer,N,Yes,,4152.0,QLD,Australia,9.0
1434,1445,1244,2017-11-14,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,Glenn Tinham,U,80.0,,Financial Analyst,Financial Services,Mass Customer,N,Yes,,2127.0,NSW,Australia,8.0
1453,1464,1477,2017-10-14,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,41922.0,Leo Balharry,U,42.0,,Actuary,Financial Services,Mass Customer,N,Yes,,2440.0,NSW,Australia,3.0
1471,1482,2999,2017-01-16,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,40779.0,Rinaldo Diggin,U,28.0,,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,,3023.0,VIC,Australia,8.0
1509,1520,453,2017-06-05,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,Cornelius Yarmouth,U,81.0,,Assistant Professor,IT,High Net Worth,N,No,,2170.0,NSW,Australia,10.0
1518,1529,1477,2017-03-18,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,40779.0,Leo Balharry,U,42.0,,Actuary,Financial Services,Mass Customer,N,Yes,,2440.0,NSW,Australia,3.0
1519,1530,1210,2017-12-13,1.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410.0,Shandie Sprigg,U,81.0,,Programmer II,IT,Mass Customer,N,No,,2230.0,NSW,Australia,9.0
1654,1666,883,2017-01-27,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,39880.0,Lolita Bennie,U,73.0,,Recruiter,IT,Mass Customer,N,Yes,,2537.0,NSW,Australia,3.0
1675,1688,1806,2017-09-07,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,Gil De Gregorio,U,95.0,,Software Test Engineer IV,IT,Mass Customer,N,No,,4701.0,QLD,Australia,1.0
1686,1699,168,2017-08-16,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,41009.0,Reggie Broggetti,U,8.0,,General Manager,IT,Affluent Customer,N,Yes,,3020.0,VIC,Australia,6.0
1715,1728,480,2017-12-13,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,36334.0,Darelle Ive,U,67.0,,Registered Nurse,Health,Mass Customer,N,Yes,,2320.0,NSW,Australia,6.0
1750,1764,454,2017-03-08,0.0,Approved,Solex,Road,medium,small,1703.52,1516.13,37838.0,Eugenie Domenc,U,58.0,,Research Nurse,Health,Affluent Customer,N,Yes,,4221.0,QLD,Australia,10.0
1765,1780,3343,2017-01-20,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,33455.0,Cristabel Bim,U,3.0,,Recruiter,IT,Mass Customer,N,Yes,,3228.0,VIC,Australia,8.0
1776,1791,2469,2017-12-10,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,40784.0,Kermie Hedger,U,18.0,,Accounting Assistant II,IT,Mass Customer,N,Yes,,2036.0,NSW,Australia,11.0
1782,1797,983,2017-01-18,1.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410.0,Shaylyn Riggs,U,49.0,,,IT,Affluent Customer,N,No,,2027.0,NSW,Australia,11.0
1811,1826,513,2017-01-21,0.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,36833.0,Kienan Soar,U,30.0,,Tax Accountant,IT,Mass Customer,N,No,,3126.0,VIC,Australia,12.0
1828,1843,892,2017-01-09,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,38206.0,Conroy Healy,U,22.0,,Office Assistant II,IT,Mass Customer,N,Yes,,3765.0,VIC,Australia,8.0
1899,1914,1740,2017-05-12,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,34244.0,Faythe Janaszewski,U,83.0,,Research Associate,IT,Mass Customer,N,Yes,,3796.0,VIC,Australia,8.0
1922,1937,1583,2017-02-07,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,41345.0,Krysta O' Reagan,U,18.0,,Geologist IV,IT,Mass Customer,N,Yes,,2100.0,NSW,Australia,11.0
1929,1944,680,2017-04-30,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36367.0,Gay Pickersgill,U,22.0,,,IT,High Net Worth,N,Yes,,2209.0,NSW,Australia,7.0
1942,1957,3086,2017-12-19,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,Pieter Gadesby,U,18.0,,Biostatistician I,IT,High Net Worth,N,No,,4116.0,QLD,Australia,7.0
1959,1974,2854,2017-08-24,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,37698.0,Vikky Dyde,U,49.0,,Project Manager,IT,High Net Worth,N,Yes,,2323.0,NSW,Australia,4.0
1998,2013,950,2017-05-19,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,40779.0,Bret Ivakhnov,U,24.0,,Recruiter,IT,High Net Worth,N,Yes,,4218.0,QLD,Australia,5.0
2133,2148,2696,2017-05-10,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,35455.0,Isabelle Bursnoll,U,42.0,,Social Worker,Health,Mass Customer,N,Yes,,4031.0,QLD,Australia,8.0
2282,2298,1082,2017-10-11,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,Guinevere Kelby,U,90.0,,Financial Analyst,Financial Services,Mass Customer,N,Yes,,4152.0,QLD,Australia,9.0
2436,2453,2341,2017-08-31,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,40779.0,Caterina Scedall,U,41.0,,Web Designer II,IT,Mass Customer,N,Yes,,3806.0,VIC,Australia,9.0
2511,2528,2647,2017-12-13,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,Marcelia Blannin,U,1.0,,Physical Therapy Assistant,IT,High Net Worth,N,No,,2770.0,NSW,Australia,7.0
2522,2539,57,2017-11-22,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,33429.0,Abba Masedon,M,87.0,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,13.0,4280.0,QLD,Australia,6.0
2561,2578,3312,2017-08-01,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259.0,Franky Nanninini,U,49.0,,Administrative Officer,IT,High Net Worth,N,No,,4505.0,QLD,Australia,2.0
2582,2599,1683,2017-07-31,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,33552.0,Brenn Bacon,U,72.0,,Budget/Accounting Analyst I,IT,Mass Customer,N,Yes,,2028.0,NSW,Australia,12.0
2612,2629,1773,2017-07-28,1.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,34556.0,Nickolas Guittet,U,82.0,,,IT,Mass Customer,N,Yes,,2114.0,NSW,Australia,8.0
2621,2638,34,2017-04-07,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0,Jephthah Bachmann,U,59.0,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20.0,4005.0,QLD,Australia,8.0
2633,2650,2205,2017-07-13,1.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0,Birk Elphey,U,76.0,,Accounting Assistant III,IT,Mass Customer,N,No,,3101.0,VIC,Australia,8.0
2654,2671,3365,2017-01-05,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,Karlens Chaffyn,U,29.0,,Engineer III,IT,Mass Customer,N,No,,2766.0,NSW,Australia,9.0
2655,2672,1773,2017-12-22,0.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,41047.0,Nickolas Guittet,U,82.0,,,IT,Mass Customer,N,Yes,,2114.0,NSW,Australia,8.0
2664,2681,1773,2017-03-16,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,33879.0,Nickolas Guittet,U,82.0,,,IT,Mass Customer,N,Yes,,2114.0,NSW,Australia,8.0
2798,2815,2697,2017-08-28,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,Klarika Yerby,U,70.0,,Legal Assistant,IT,High Net Worth,N,No,,2067.0,NSW,Australia,12.0
2861,2878,799,2017-04-16,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,33455.0,Harland Spilisy,U,39.0,,Programmer I,IT,Mass Customer,N,Yes,,2756.0,NSW,Australia,8.0
3003,3022,1773,2017-04-10,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36833.0,Nickolas Guittet,U,82.0,,,IT,Mass Customer,N,Yes,,2114.0,NSW,Australia,8.0
3012,3031,548,2017-09-14,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,35052.0,Georgie Cudbertson,U,84.0,,,IT,High Net Worth,N,Yes,,4127.0,QLD,Australia,7.0
3044,3063,3012,2017-02-10,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,40553.0,Devland Probart,U,81.0,,Technical Writer,IT,Mass Customer,N,Yes,,3250.0,VIC,Australia,2.0
3072,3091,2854,2017-10-08,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37668.0,Vikky Dyde,U,49.0,,Project Manager,IT,High Net Worth,N,Yes,,2323.0,NSW,Australia,4.0
3218,3238,1351,2017-03-23,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,35160.0,Lorettalorna ,U,32.0,,Office Assistant IV,IT,High Net Worth,N,No,,3564.0,VIC,Australia,2.0
3232,3252,3343,2017-06-12,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539.0,Cristabel Bim,U,3.0,,Recruiter,IT,Mass Customer,N,Yes,,3228.0,VIC,Australia,8.0
3246,3267,1740,2017-12-24,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,33429.0,Faythe Janaszewski,U,83.0,,Research Associate,IT,Mass Customer,N,Yes,,3796.0,VIC,Australia,8.0
3270,3291,1628,2017-08-19,0.0,Approved,Solex,Road,medium,large,1777.8,820.78,41047.0,Hermione Brereton,U,13.0,,Assistant Manager,IT,Mass Customer,N,No,,2528.0,NSW,Australia,6.0
3282,3303,1773,2017-01-27,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146.0,Nickolas Guittet,U,82.0,,,IT,Mass Customer,N,Yes,,2114.0,NSW,Australia,8.0
3329,3350,2999,2017-03-13,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,35455.0,Rinaldo Diggin,U,28.0,,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,,3023.0,VIC,Australia,8.0
3375,3396,3288,2017-07-07,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,Fair Dewen,U,47.0,,Engineer III,IT,High Net Worth,N,No,,2770.0,NSW,Australia,9.0
3385,3406,3365,2017-02-03,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Karlens Chaffyn,U,29.0,,Engineer III,IT,Mass Customer,N,No,,2766.0,NSW,Australia,9.0
3513,3535,685,2017-07-04,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,Booth Birkin,U,28.0,,Senior Developer,IT,Mass Customer,N,No,,2463.0,NSW,Australia,4.0
3548,3570,2697,2017-11-27,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,Klarika Yerby,U,70.0,,Legal Assistant,IT,High Net Worth,N,No,,2067.0,NSW,Australia,12.0
3575,3597,451,2017-03-21,1.0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0,Marlow Flowerdew,U,37.0,,Quality Control Specialist,IT,High Net Worth,N,No,,3192.0,VIC,Australia,10.0
3621,3643,2069,2017-03-11,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,34996.0,Sol Holdron,U,32.0,,Software Test Engineer IV,IT,Mass Customer,N,Yes,,4509.0,QLD,Australia,7.0
3626,3648,1780,2017-02-05,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Maude Tixier,U,52.0,,Research Associate,IT,Mass Customer,N,No,,3976.0,VIC,Australia,3.0
3651,3673,3255,2017-01-15,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,Sutherlan Truin,U,47.0,,Engineer IV,IT,High Net Worth,N,No,,3128.0,VIC,Australia,10.0
3688,3710,2069,2017-01-05,0.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,41009.0,Sol Holdron,U,32.0,,Software Test Engineer IV,IT,Mass Customer,N,Yes,,4509.0,QLD,Australia,7.0
3702,3724,892,2017-07-10,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,33879.0,Conroy Healy,U,22.0,,Office Assistant II,IT,Mass Customer,N,Yes,,3765.0,VIC,Australia,8.0
3743,3765,1,2017-04-06,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,39526.0,Laraine Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,2016.0,NSW,Australia,10.0
3746,3768,3151,2017-05-14,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,35707.0,Thorn Choffin,U,20.0,,Senior Developer,IT,Affluent Customer,N,Yes,,4055.0,QLD,Australia,8.0
3790,3813,2963,2017-11-05,,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,37626.0,Christin Fricke,U,17.0,,Safety Technician II,IT,Affluent Customer,N,Yes,,2114.0,NSW,Australia,10.0
3853,3876,1082,2017-06-09,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,Guinevere Kelby,U,90.0,,Financial Analyst,Financial Services,Mass Customer,N,Yes,,4152.0,QLD,Australia,9.0
3907,3931,2000,2017-08-16,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,42404.0,Kain Rene,U,68.0,,Assistant Professor,IT,High Net Worth,N,Yes,,2147.0,NSW,Australia,8.0
3975,3999,3086,2017-04-21,1.0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0,Pieter Gadesby,U,18.0,,Biostatistician I,IT,High Net Worth,N,No,,4116.0,QLD,Australia,7.0
4005,4030,2426,2017-08-23,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,37873.0,Yancy Ovett,U,64.0,,,IT,Affluent Customer,N,Yes,,2145.0,NSW,Australia,10.0
4028,4053,3312,2017-08-23,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,36833.0,Franky Nanninini,U,49.0,,Administrative Officer,IT,High Net Worth,N,No,,4505.0,QLD,Australia,2.0
4053,4079,2999,2017-07-27,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,41009.0,Rinaldo Diggin,U,28.0,,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,,3023.0,VIC,Australia,8.0
4191,4218,1509,2017-01-10,1.0,Approved,Solex,Road,medium,medium,416.98,312.74,38991.0,Sibley Janek,U,10.0,,Computer Systems Analyst I,IT,High Net Worth,N,Yes,,2227.0,NSW,Australia,10.0
4206,4236,2341,2017-10-17,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,40779.0,Caterina Scedall,U,41.0,,Web Designer II,IT,Mass Customer,N,Yes,,3806.0,VIC,Australia,9.0
4231,4261,548,2017-03-12,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,34170.0,Georgie Cudbertson,U,84.0,,,IT,High Net Worth,N,Yes,,4127.0,QLD,Australia,7.0
4243,4273,3151,2017-10-01,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,42145.0,Thorn Choffin,U,20.0,,Senior Developer,IT,Affluent Customer,N,Yes,,4055.0,QLD,Australia,8.0
4353,4384,3012,2017-12-27,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,34079.0,Devland Probart,U,81.0,,Technical Writer,IT,Mass Customer,N,Yes,,3250.0,VIC,Australia,2.0
4395,4427,3298,2017-03-28,1.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,37838.0,Christine Baignard,U,1.0,,VP Quality Control,IT,Affluent Customer,N,Yes,,3064.0,VIC,Australia,7.0
4603,4636,3288,2017-03-03,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Fair Dewen,U,47.0,,Engineer III,IT,High Net Worth,N,No,,2770.0,NSW,Australia,9.0
4607,4640,453,2017-04-04,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701.0,Cornelius Yarmouth,U,81.0,,Assistant Professor,IT,High Net Worth,N,No,,2170.0,NSW,Australia,10.0
4679,4713,1174,2017-12-22,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455.0,Shellysheldon Gooderridge,U,9.0,,Executive Secretary,IT,Mass Customer,N,No,,2529.0,NSW,Australia,7.0
4693,4728,839,2017-02-17,0.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,34071.0,Charis Greaves,U,14.0,,Structural Analysis Engineer,IT,Mass Customer,N,Yes,,2880.0,NSW,Australia,1.0
4709,4744,2647,2017-12-18,1.0,Cancelled,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455.0,Marcelia Blannin,U,1.0,,Physical Therapy Assistant,IT,High Net Worth,N,No,,2770.0,NSW,Australia,7.0
4725,4760,451,2017-03-06,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244.0,Marlow Flowerdew,U,37.0,,Quality Control Specialist,IT,High Net Worth,N,No,,3192.0,VIC,Australia,10.0
4799,4835,168,2017-05-26,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,39427.0,Reggie Broggetti,U,8.0,,General Manager,IT,Affluent Customer,N,Yes,,3020.0,VIC,Australia,6.0
4814,4850,1806,2017-01-15,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Gil De Gregorio,U,95.0,,Software Test Engineer IV,IT,Mass Customer,N,No,,4701.0,QLD,Australia,1.0
4878,4915,144,2017-06-18,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,Jory Barrabeale,U,71.0,,Environmental Tech,IT,Mass Customer,N,No,,2315.0,NSW,Australia,3.0
4891,4928,2295,2017-07-29,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,38750.0,Farris Hazelby,U,35.0,,Internal Auditor,IT,Mass Customer,N,Yes,,2156.0,NSW,Australia,12.0
4910,4947,2920,2017-04-19,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,34996.0,Casar Ritchley,U,0.0,,Business Systems Development Analyst,IT,Mass Customer,N,Yes,,2299.0,NSW,Australia,8.0
